net,length_um
mem_addr\[1\],1488.8
mem_addr\[6\],1381.85
mem_addr\[7\],1379.52
mem_addr\[4\],1353.74
mem_addr\[5\],1347.61
mem_addr\[3\],1345.24
mem_addr\[0\],1322.13
mem_addr\[2\],1320.16
net568,1221.39
u_core0.B_inputs\[105\],1184.58
net655,1178.06
u_core0.B_inputs\[108\],1169.96
u_core0.B_inputs\[107\],1166.18
u_core0.B_inputs\[106\],1163.18
u_core0.B_inputs\[109\],1149.65
u_core0.B_inputs\[110\],1087.36
u_core0.B_inputs\[111\],1084.44
mem_csb_a,1033.84
mem1_rdata\[9\],951.15
u_core0.B_inputs\[104\],948.04
net454,934.085
net139,931.29
net211,907.7
net298,875.16
net216,864.66
net290,859.84
net445,855.42
net102,847.805
_08693_,838.555
net278,827.665
net265,826.7
net286,822.43
net446,819.795
net364,813.225
net146,812.63
net289,812.455
net191,809.945
net365,800.42
mem1_rdata\[10\],799.03
mem1_rdata\[14\],797.26
_09448_,797.16
net359,796.26
net358,795.3
net145,794.54
net287,793.13
net294,791.8
net203,790.655
net277,790.5
net375,790.2
_09296_,788.9
net136,788.59
net213,785.33
net276,784.31
net266,778.05
net353,776.74
net212,773.48
net210,770.57
net288,769.43
net217,769.09
net100,768.255
net34,763.21
net291,759.04
net101,757.68
_10807_,756.5
_18721_,756.46
net142,755.97
net45,752.58
net162,752.37
net355,750.27
_09571_,747.44
net451,747.44
net293,746.61
net281,745.73
net201,744.84
_10476_,744.47
net285,743.78
_10427_,742.765
net200,740.36
_20229_,739.16
_22061_,738.63
net376,738.315
net299,735.43
net208,735.21
net368,734.94
net314,734.36
_08748_,734.16
net209,733.42
net366,732.945
net363,732.82
net374,730.67
net295,727.9
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[7\],727.89
_08700_,724.495
net292,724.21
net434,722.16
net352,720.725
net272,719.99
net134,719.52
net351,718.64
net369,718.525
_10804_,718.14
net167,717.29
net264,717.28
net194,717.17
net56,716.96
net124,716.75
_09167_,716.44
mem1_rdata\[15\],715.45
net215,715.305
u_core0.B_inputs\[0\],710.8
net360,707.775
net587,706.14
net348,705.39
net59,704.97
net96,704.68
net306,703.2
u_core0.A_inputs\[113\],701.335
net250,700.52
clk,700.13
mem0_rdata\[27\],699.02
mem_wdata_a\[30\],698.65
mem_wdata_a\[31\],696.32
net263,695.05
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[10\],695.03
net305,695
_09755_,693.845
net389,693.67
net296,692.75
net77,692.43
net221,692.1
u_core0.B_inputs\[129\],691.095
net383,690.29
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[11\],690.02
net204,689.01
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[9\],688.66
net227,687.98
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[1\],687.46
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[8\],685.54
_10444_,684.89
net241,684.13
net60,683.77
_10536_,682.63
mem_wdata_a\[29\],681.04
_20976_,680.87
net135,674.955
net357,674.2
net164,672.6
net61,672.07
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[7\],671.75
mem1_rdata\[13\],671.49
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[11\],671.4
net275,670.75
net447,670.64
net202,670.475
mem1_rdata\[11\],669.39
net195,668.13
net110,667.76
mem_wdata_a\[0\],666.66
net373,665.94
_09008_,665.22
net127,662.95
net104,661.13
net223,660.445
net224,660.38
net172,660.16
_21831_,659.91
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[6\],658.94
net372,658.595
net206,658.425
net148,658.02
net378,657.94
net261,656.65
net179,656.59
net161,655.95
net198,655.75
net196,653.545
net381,651.83
clknet_5_29__leaf_clk,651.31
net78,650.61
net62,650.32
_09518_,649.66
mem1_rdata\[8\],648.69
_08734_,648.445
net283,648.405
_10693_,648.275
net118,647.73
net140,647.565
_09792_,647.055
net235,646.88
net349,646.38
net354,646.35
net453,646.17
mem_wdata_a\[9\],644.89
net350,644.29
_11537_,643.97
net158,643.52
net240,643.42
_00826_,643.38
net230,643.21
net361,642.97
net347,641.33
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[5\],640.95
net63,639.86
net174,639.425
mem_wdata_a\[28\],639.4
net149,639.33
net297,639.15
_19530_,638.12
net274,636.82
mem_wdata_a\[26\],636.75
net385,636.615
net220,636.42
_00682_,636.22
net222,635.73
net341,635.06
net165,634.515
net214,633.6
net138,633.25
net150,632.08
net340,632.06
net155,631.375
net384,631.28
_10808_,630.61
net279,630.52
net130,630.02
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[2\],629.74
_09458_,629.47
mem0_rdata\[21\],629.33
net109,627.86
clknet_0_clk,627.86
_00690_,627.38
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[4\],627.38
_09478_,627.35
net410,626.76
net300,625.81
_09685_,625.755
net108,625.73
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[0\],624.9
_09483_,624.63
net228,624.62
net133,623.8
u_core0.A_inputs\[111\],621.73
net388,621.43
mem_wdata_a\[15\],621.38
mem1_rdata\[12\],620.11
net256,619.22
net346,619.21
_09496_,619.13
mem0_rdata\[22\],617.65
net269,616.72
net322,616.1
u_core0.B_inputs\[131\],615.65
mem_wdata_a\[27\],615.52
net452,614.48
net192,614.03
net154,613.91
net371,613.035
_25790_,612.65
net199,612.44
net304,612.21
net106,611.18
net379,610.06
net387,609.63
net307,609.56
mem_wdata_a\[2\],609.04
net93,608.98
_00689_,606.49
u_core0.ROW\[31\].COL\[1\].u_pe.sum_out\[3\],605.92
mem_wdata_a\[1\],605.875
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[5\],605.76
net64,605.7
mem_wdata_a\[6\],603.7
u_core0.B_inputs\[130\],602.54
_23055_,602.29
mem0_rdata\[26\],602.02
mem0_rdata\[28\],601.7
_12262_,601.465
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[7\],600.66
mem_wdata_a\[13\],600.415
net111,600.41
net370,599.43
mem_wdata_a\[4\],599.15
_09489_,598.88
net131,598.88
net232,597.09
net362,596.895
_09079_,596.67
net252,595.26
_14147_,594.72
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[9\],594.555
_25781_,594.5
net65,594.46
mem_wdata_a\[3\],592.74
_10939_,592.115
_09293_,591.35
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[8\],590.79
net121,589.98
net301,589.97
net151,587.965
net33,587.86
net144,587.65
net342,586.855
net143,585.87
_08711_,585.8
mem_wdata_a\[5\],585.61
_10611_,585.345
net185,585.25
net226,584.98
net141,583.18
_09758_,582.63
_10806_,582.58
u_core0.A_inputs\[126\],581.43
net321,580.31
net237,580
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[5\],578.92
_09589_,578.66
net284,578.035
_09725_,576.655
_09411_,576.035
net169,576
mem0_rdata\[25\],575.41
net113,575.26
net343,574.675
_18306_,574.47
net236,574.2
mem_wdata_a\[8\],574.07
_00749_,574.04
mem_wdata_a\[7\],574.03
net243,573.16
_09073_,573.085
net280,572.78
net450,572.49
net219,572.17
_14225_,571.79
_19263_,570.45
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[1\],569.15
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[3\],569.04
_09486_,568.95
mem0_rdata\[20\],568.67
net157,568.6
_25336_,568.49
net231,566.875
mem_wdata_a\[18\],566.71
_12352_,565.82
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[6\],565.73
net35,565.44
net190,565.435
_09409_,564.595
net180,564.595
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[5\],564.26
_09482_,563.29
_22551_,563.12
u_core0.ROW\[3\].COL\[1\].u_pe.sum_out\[11\],562.02
net303,561.18
net87,559.85
u_core0.A_inputs\[107\],558.9
net168,558.87
_20901_,558.285
_00829_,556.72
net75,556.23
net178,556.21
net91,555.955
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[2\],555.57
clknet_5_28__leaf_clk,553.775
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[2\],553.58
_00688_,553.36
_10432_,553.17
_08779_,551.61
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[7\],551.31
_08684_,550.5
